2026-01-15 23:04:33,107 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000000 				 value=12.9309
2026-01-15 23:04:33,550 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_mse 				 iteration=000020 				 value=0.0000
2026-01-15 23:04:33,550 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000020 				 value=0.0045
2026-01-15 23:04:33,550 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000020 				 value=0.0006
2026-01-15 23:04:33,551 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000020 				 value=0.0006
2026-01-15 23:04:33,551 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_mse 				 iteration=000020 				 value=0.0000
2026-01-15 23:04:33,551 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000020 				 value=0.0009
2026-01-15 23:04:33,551 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000020 				 value=0.0003
2026-01-15 23:04:33,551 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000020 				 value=0.0003
2026-01-15 23:04:33,551 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_mse 				 iteration=000020 				 value=0.0000
2026-01-15 23:04:33,551 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000020 				 value=1.5678
2026-01-15 23:04:33,551 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000020 				 value=0.0000
2026-01-15 23:04:33,551 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000020 				 value=0.0000
2026-01-15 23:04:33,551 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_mse 				 iteration=000020 				 value=0.0000
2026-01-15 23:04:33,551 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000020 				 value=0.1012
2026-01-15 23:04:33,551 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000020 				 value=0.0000
2026-01-15 23:04:33,551 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000020 				 value=0.0000
2026-01-15 23:04:33,552 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_mse 				 iteration=000020 				 value=0.0000
2026-01-15 23:04:33,753 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000030 				 value=0.0228
2026-01-15 23:04:33,753 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000030 				 value=0.0007
2026-01-15 23:04:33,753 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000030 				 value=0.0007
2026-01-15 23:04:33,753 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_mse 				 iteration=000030 				 value=0.0000
2026-01-15 23:04:33,753 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000030 				 value=0.0007
2026-01-15 23:04:33,753 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000030 				 value=0.0003
2026-01-15 23:04:33,753 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000030 				 value=0.0003
2026-01-15 23:04:33,753 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_mse 				 iteration=000030 				 value=0.0000
2026-01-15 23:04:33,753 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000030 				 value=0.0033
2026-01-15 23:04:33,753 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000030 				 value=0.0006
2026-01-15 23:04:33,753 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000030 				 value=0.0006
2026-01-15 23:04:33,754 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_mse 				 iteration=000030 				 value=0.0000
2026-01-15 23:04:33,754 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000030 				 value=0.0011
2026-01-15 23:04:33,754 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000030 				 value=0.0003
2026-01-15 23:04:33,754 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000030 				 value=0.0003
2026-01-15 23:04:33,754 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_mse 				 iteration=000030 				 value=0.0000
2026-01-15 23:04:33,754 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000030 				 value=0.7703
2026-01-15 23:04:33,754 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000030 				 value=0.0000
2026-01-15 23:04:33,754 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000030 				 value=0.0000
2026-01-15 23:04:33,754 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_mse 				 iteration=000030 				 value=0.0000
2026-01-15 23:04:33,754 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000030 				 value=0.0699
2026-01-15 23:04:33,754 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000030 				 value=0.0000
2026-01-15 23:04:33,754 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000030 				 value=0.0000
2026-01-15 23:04:33,754 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_mse 				 iteration=000030 				 value=0.0000
2026-01-15 23:04:33,956 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000040 				 value=0.0085
2026-01-15 23:04:33,957 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000040 				 value=0.0008
2026-01-15 23:04:33,957 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000040 				 value=0.0008
2026-01-15 23:04:33,957 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_mse 				 iteration=000040 				 value=0.0000
2026-01-15 23:04:33,957 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000040 				 value=0.0009
2026-01-15 23:04:33,957 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000040 				 value=0.0003
2026-01-15 23:04:33,957 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000040 				 value=0.0003
2026-01-15 23:04:33,957 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_mse 				 iteration=000040 				 value=0.0000
2026-01-15 23:04:33,957 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000040 				 value=0.0014
2026-01-15 23:04:33,957 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000040 				 value=0.0006
2026-01-15 23:04:33,957 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000040 				 value=0.0006
2026-01-15 23:04:33,957 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_mse 				 iteration=000040 				 value=0.0000
2026-01-15 23:04:33,957 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000040 				 value=0.0005
2026-01-15 23:04:33,958 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000040 				 value=0.0003
2026-01-15 23:04:33,958 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000040 				 value=0.0003
2026-01-15 23:04:33,958 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_mse 				 iteration=000040 				 value=0.0000
2026-01-15 23:04:33,958 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000040 				 value=0.2551
2026-01-15 23:04:33,958 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000040 				 value=0.0000
2026-01-15 23:04:33,958 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000040 				 value=0.0000
2026-01-15 23:04:33,958 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_mse 				 iteration=000040 				 value=0.0000
2026-01-15 23:04:33,958 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000040 				 value=0.1737
2026-01-15 23:04:33,958 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000040 				 value=0.0000
2026-01-15 23:04:33,958 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000040 				 value=0.0000
2026-01-15 23:04:33,958 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_mse 				 iteration=000040 				 value=0.0000
2026-01-15 23:04:34,163 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000050 				 value=0.0097
2026-01-15 23:04:34,163 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000050 				 value=0.0008
2026-01-15 23:04:34,163 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000050 				 value=0.0008
2026-01-15 23:04:34,163 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_mse 				 iteration=000050 				 value=0.0000
2026-01-15 23:04:34,163 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000050 				 value=0.0020
2026-01-15 23:04:34,163 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000050 				 value=0.0003
2026-01-15 23:04:34,163 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000050 				 value=0.0003
2026-01-15 23:04:34,163 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_mse 				 iteration=000050 				 value=0.0000
2026-01-15 23:04:34,163 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000050 				 value=0.0003
2026-01-15 23:04:34,163 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000050 				 value=0.0006
2026-01-15 23:04:34,163 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000050 				 value=0.0006
2026-01-15 23:04:34,163 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_mse 				 iteration=000050 				 value=0.0000
2026-01-15 23:04:34,163 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000050 				 value=0.0011
2026-01-15 23:04:34,164 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000050 				 value=0.0003
2026-01-15 23:04:34,164 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000050 				 value=0.0003
2026-01-15 23:04:34,164 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_mse 				 iteration=000050 				 value=0.0000
2026-01-15 23:04:34,164 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000050 				 value=0.2885
2026-01-15 23:04:34,164 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000050 				 value=0.0000
2026-01-15 23:04:34,164 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000050 				 value=0.0000
2026-01-15 23:04:34,164 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_mse 				 iteration=000050 				 value=0.0000
2026-01-15 23:04:34,164 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000050 				 value=0.0541
2026-01-15 23:04:34,164 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000050 				 value=0.0000
2026-01-15 23:04:34,164 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000050 				 value=0.0000
2026-01-15 23:04:34,164 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_mse 				 iteration=000050 				 value=0.0000
2026-01-15 23:04:34,377 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000060 				 value=0.0104
2026-01-15 23:04:34,377 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000060 				 value=0.0008
2026-01-15 23:04:34,377 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000060 				 value=0.0008
2026-01-15 23:04:34,377 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_mse 				 iteration=000060 				 value=0.0000
2026-01-15 23:04:34,377 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000060 				 value=0.0005
2026-01-15 23:04:34,377 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000060 				 value=0.0003
2026-01-15 23:04:34,377 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000060 				 value=0.0003
2026-01-15 23:04:34,377 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_mse 				 iteration=000060 				 value=0.0000
2026-01-15 23:04:34,377 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000060 				 value=0.0000
2026-01-15 23:04:34,377 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000060 				 value=0.0006
2026-01-15 23:04:34,377 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000060 				 value=0.0006
2026-01-15 23:04:34,377 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_mse 				 iteration=000060 				 value=0.0000
2026-01-15 23:04:34,378 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000060 				 value=0.0014
2026-01-15 23:04:34,378 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000060 				 value=0.0003
2026-01-15 23:04:34,378 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000060 				 value=0.0003
2026-01-15 23:04:34,378 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_mse 				 iteration=000060 				 value=0.0000
2026-01-15 23:04:34,378 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000060 				 value=0.2174
2026-01-15 23:04:34,378 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000060 				 value=0.0000
2026-01-15 23:04:34,378 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000060 				 value=0.0000
2026-01-15 23:04:34,378 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_mse 				 iteration=000060 				 value=0.0000
2026-01-15 23:04:34,378 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000060 				 value=0.0757
2026-01-15 23:04:34,378 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000060 				 value=0.0000
2026-01-15 23:04:34,378 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000060 				 value=0.0000
2026-01-15 23:04:34,378 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_mse 				 iteration=000060 				 value=0.0000
2026-01-15 23:04:34,589 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000070 				 value=0.0718
2026-01-15 23:04:34,589 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000070 				 value=0.0008
2026-01-15 23:04:34,589 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000070 				 value=0.0008
2026-01-15 23:04:34,589 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_mse 				 iteration=000070 				 value=0.0000
2026-01-15 23:04:34,590 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000070 				 value=0.0020
2026-01-15 23:04:34,590 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000070 				 value=0.0003
2026-01-15 23:04:34,590 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000070 				 value=0.0003
2026-01-15 23:04:34,590 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_mse 				 iteration=000070 				 value=0.0000
2026-01-15 23:04:34,590 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000070 				 value=0.0001
2026-01-15 23:04:34,590 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000070 				 value=0.0007
2026-01-15 23:04:34,590 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000070 				 value=0.0007
2026-01-15 23:04:34,590 - INFO - model.model.layers.2.self_attention.layernorm_qkv_activation_mse 				 iteration=000070 				 value=0.0000
2026-01-15 23:04:34,590 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000070 				 value=0.0009
2026-01-15 23:04:34,590 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000070 				 value=0.0004
2026-01-15 23:04:34,590 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000070 				 value=0.0004
2026-01-15 23:04:34,590 - INFO - model.model.layers.2.self_attention.layernorm_qkv_weight_mse 				 iteration=000070 				 value=0.0000
2026-01-15 23:04:34,591 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000070 				 value=0.1481
2026-01-15 23:04:34,591 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000070 				 value=0.0000
2026-01-15 23:04:34,591 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000070 				 value=0.0000
2026-01-15 23:04:34,591 - INFO - model.model.layers.2.self_attention.layernorm_qkv_gradient_mse 				 iteration=000070 				 value=0.0000
2026-01-15 23:04:34,591 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000070 				 value=0.0881
2026-01-15 23:04:34,591 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000070 				 value=0.0000
2026-01-15 23:04:34,591 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000070 				 value=0.0000
2026-01-15 23:04:34,591 - INFO - model.model.layers.1.self_attention.layernorm_qkv_gradient_mse 				 iteration=000070 				 value=0.0000
2026-01-15 23:04:34,796 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000080 				 value=0.0142
2026-01-15 23:04:34,796 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000080 				 value=0.0009
2026-01-15 23:04:34,796 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000080 				 value=0.0009
2026-01-15 23:04:34,796 - INFO - model.model.layers.1.self_attention.layernorm_qkv_activation_mse 				 iteration=000080 				 value=0.0000
2026-01-15 23:04:34,796 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000080 				 value=0.0014
2026-01-15 23:04:34,796 - INFO - model.model.layers.1.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000080 				 value=0.0003
