2026-01-15 23:06:41,584 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000000 				 value=4.7781
2026-01-15 23:06:41,586 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000000 				 value=3.3568
2026-01-15 23:06:41,586 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,586 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,586 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_weight_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:06:41,586 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000000 				 value=2.4121
2026-01-15 23:06:41,586 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,586 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,586 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_activation_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:06:41,587 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000000 				 value=3.4082
2026-01-15 23:06:41,587 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,587 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,587 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_weight_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:06:41,587 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000000 				 value=3.1400
2026-01-15 23:06:41,587 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,587 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,587 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_activation_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:06:41,587 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000000 				 value=3.3831
2026-01-15 23:06:41,587 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,587 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,587 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_weight_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:06:41,587 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000000 				 value=3.1612
2026-01-15 23:06:41,587 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,587 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,587 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_activation_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:06:41,588 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000000 				 value=3.4183
2026-01-15 23:06:41,588 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,588 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,588 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_weight_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:06:41,588 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000000 				 value=21.4681
2026-01-15 23:06:41,588 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,588 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,588 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_gradient_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:06:41,588 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000000 				 value=21.4681
2026-01-15 23:06:41,588 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,588 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,588 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_gradient_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:06:41,588 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000000 				 value=21.4681
2026-01-15 23:06:41,588 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,588 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,588 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_gradient_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:06:41,589 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000000 				 value=21.4681
2026-01-15 23:06:41,589 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,589 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,589 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_gradient_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:06:41,589 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000000 				 value=21.4681
2026-01-15 23:06:41,589 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,589 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,589 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_gradient_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:06:41,589 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000000 				 value=21.4681
2026-01-15 23:06:41,589 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,589 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000000 				 value=1.0000
2026-01-15 23:06:41,589 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_gradient_mse 				 iteration=000000 				 value=0.0000
2026-01-15 23:06:42,113 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,113 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000010 				 value=0.0004
2026-01-15 23:06:42,113 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000010 				 value=0.0004
2026-01-15 23:06:42,113 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_activation_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,113 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000010 				 value=0.0003
2026-01-15 23:06:42,113 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000010 				 value=0.0002
2026-01-15 23:06:42,113 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000010 				 value=0.0002
2026-01-15 23:06:42,113 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_weight_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,113 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000010 				 value=0.0049
2026-01-15 23:06:42,113 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000010 				 value=0.0003
2026-01-15 23:06:42,113 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000010 				 value=0.0003
2026-01-15 23:06:42,113 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_activation_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,114 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000010 				 value=0.0010
2026-01-15 23:06:42,114 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000010 				 value=0.0003
2026-01-15 23:06:42,114 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000010 				 value=0.0003
2026-01-15 23:06:42,114 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_weight_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,114 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,114 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000010 				 value=0.0004
2026-01-15 23:06:42,114 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000010 				 value=0.0004
2026-01-15 23:06:42,114 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_activation_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,114 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000010 				 value=0.0010
2026-01-15 23:06:42,114 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000010 				 value=0.0002
2026-01-15 23:06:42,114 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000010 				 value=0.0002
2026-01-15 23:06:42,114 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_weight_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,114 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,114 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000010 				 value=0.0004
2026-01-15 23:06:42,114 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000010 				 value=0.0004
2026-01-15 23:06:42,115 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_activation_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,115 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000010 				 value=0.0007
2026-01-15 23:06:42,115 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000010 				 value=0.0002
2026-01-15 23:06:42,115 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000010 				 value=0.0002
2026-01-15 23:06:42,115 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_weight_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,115 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,115 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000010 				 value=0.0004
2026-01-15 23:06:42,115 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000010 				 value=0.0004
2026-01-15 23:06:42,115 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_activation_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,115 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000010 				 value=0.0007
2026-01-15 23:06:42,115 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000010 				 value=0.0002
2026-01-15 23:06:42,115 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000010 				 value=0.0002
2026-01-15 23:06:42,115 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_weight_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,115 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000010 				 value=0.0002
2026-01-15 23:06:42,115 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000010 				 value=0.0004
2026-01-15 23:06:42,115 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000010 				 value=0.0004
2026-01-15 23:06:42,116 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_activation_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,116 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000010 				 value=0.0003
2026-01-15 23:06:42,116 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000010 				 value=0.0003
2026-01-15 23:06:42,116 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000010 				 value=0.0003
2026-01-15 23:06:42,116 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_weight_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,116 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000010 				 value=0.0005
2026-01-15 23:06:42,116 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,116 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,116 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_gradient_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,116 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000010 				 value=0.0964
2026-01-15 23:06:42,116 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,116 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,116 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_gradient_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,116 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000010 				 value=0.0599
2026-01-15 23:06:42,116 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,116 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,117 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_gradient_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,117 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000010 				 value=0.0251
2026-01-15 23:06:42,117 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,117 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,117 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_gradient_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,117 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000010 				 value=0.0193
2026-01-15 23:06:42,117 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,117 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,117 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_gradient_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,117 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_gradient_underflows% 				 iteration=000010 				 value=0.0045
2026-01-15 23:06:42,117 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_gradient_scale_inv_min 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,117 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_gradient_scale_inv_max 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,117 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_gradient_mse 				 iteration=000010 				 value=0.0000
2026-01-15 23:06:42,539 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000020 				 value=0.0000
2026-01-15 23:06:42,539 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000020 				 value=0.0004
2026-01-15 23:06:42,539 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000020 				 value=0.0004
2026-01-15 23:06:42,539 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_activation_mse 				 iteration=000020 				 value=0.0000
2026-01-15 23:06:42,539 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000020 				 value=0.0007
2026-01-15 23:06:42,539 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000020 				 value=0.0002
2026-01-15 23:06:42,539 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000020 				 value=0.0002
2026-01-15 23:06:42,539 - INFO - model.esm.encoder.layers.1.self_attention.layernorm_qkv_weight_mse 				 iteration=000020 				 value=0.0000
2026-01-15 23:06:42,539 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000020 				 value=0.0000
2026-01-15 23:06:42,539 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000020 				 value=0.0003
2026-01-15 23:06:42,539 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000020 				 value=0.0003
2026-01-15 23:06:42,539 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_activation_mse 				 iteration=000020 				 value=0.0000
2026-01-15 23:06:42,540 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000020 				 value=0.0013
2026-01-15 23:06:42,540 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000020 				 value=0.0003
2026-01-15 23:06:42,540 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000020 				 value=0.0003
2026-01-15 23:06:42,540 - INFO - model.esm.encoder.layers.2.self_attention.layernorm_qkv_weight_mse 				 iteration=000020 				 value=0.0000
2026-01-15 23:06:42,540 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000020 				 value=0.0005
2026-01-15 23:06:42,540 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000020 				 value=0.0004
2026-01-15 23:06:42,540 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000020 				 value=0.0004
2026-01-15 23:06:42,540 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_activation_mse 				 iteration=000020 				 value=0.0000
2026-01-15 23:06:42,540 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000020 				 value=0.0003
2026-01-15 23:06:42,540 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000020 				 value=0.0002
2026-01-15 23:06:42,540 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000020 				 value=0.0002
2026-01-15 23:06:42,540 - INFO - model.esm.encoder.layers.3.self_attention.layernorm_qkv_weight_mse 				 iteration=000020 				 value=0.0000
2026-01-15 23:06:42,540 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000020 				 value=0.0000
2026-01-15 23:06:42,540 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000020 				 value=0.0004
2026-01-15 23:06:42,540 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000020 				 value=0.0004
2026-01-15 23:06:42,540 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_activation_mse 				 iteration=000020 				 value=0.0000
2026-01-15 23:06:42,541 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000020 				 value=0.0016
2026-01-15 23:06:42,541 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000020 				 value=0.0002
2026-01-15 23:06:42,541 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000020 				 value=0.0002
2026-01-15 23:06:42,541 - INFO - model.esm.encoder.layers.4.self_attention.layernorm_qkv_weight_mse 				 iteration=000020 				 value=0.0000
2026-01-15 23:06:42,541 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000020 				 value=0.0000
2026-01-15 23:06:42,541 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_activation_scale_inv_min 				 iteration=000020 				 value=0.0004
2026-01-15 23:06:42,541 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_activation_scale_inv_max 				 iteration=000020 				 value=0.0004
2026-01-15 23:06:42,541 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_activation_mse 				 iteration=000020 				 value=0.0000
2026-01-15 23:06:42,541 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_weight_underflows% 				 iteration=000020 				 value=0.0010
2026-01-15 23:06:42,541 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_weight_scale_inv_min 				 iteration=000020 				 value=0.0002
2026-01-15 23:06:42,541 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_weight_scale_inv_max 				 iteration=000020 				 value=0.0002
2026-01-15 23:06:42,542 - INFO - model.esm.encoder.layers.5.self_attention.layernorm_qkv_weight_mse 				 iteration=000020 				 value=0.0000
2026-01-15 23:06:42,542 - INFO - model.esm.encoder.layers.6.self_attention.layernorm_qkv_activation_underflows% 				 iteration=000020 				 value=0.0000
